Designation,H Mag,Mean Mag (r Band),Number of Observations,Arc (days),LS peak / Adopted Fourier (hr),Period display,LS peak period (hr),Adopted period (hr),Adopted K,2P candidate (hr),ΔBIC(2P−P),Amplitude (Fourier),g - r,g - i,r - i,Axial Elongation,Reliability,Bootstrap top_frac,Bootstrap n_unique_winners,Bootstrap family_size,Ambiguous candidates (P_hr:frac),pipeline_version,run_id_utc,outdir,final_row_path
1995 UW34,17.172138975306897,22.675833333333337,181,2.1272978935185187,19.45 / 5.67,LS_peak=19.45 h; Adopted=5.67 h,19.44958074074074,5.6727943827160505,4,,,1.0999296933527307,0.2973489646900233,0.3133772682582254,0.016028303568202,2.754050359541901,reliable,0.9675,2,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\1995_UW34,C:\Users\vikas\Downloads\ls_outputs\1995_UW34\step14_final_summary.csv
1996 XZ3,18.7502015087609,23.174144,303,12.046303101851851,0.63 / 0.82,LS_peak=0.63 h; Adopted=0.82 h,0.6307308959791534,0.8222147869020817,2,1.6444295738041634,10.449339293773903,0.1079044858354701,0.5566218730500729,0.702016513498041,0.145394640447968,1.1044900157436852,ambiguous,0.535,7,8,0.822:0.535; 1.333:0.258; 13.179:0.055; 0.142:0.055; 6.589:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\1996_XZ3,C:\Users\vikas\Downloads\ls_outputs\1996_XZ3\step14_final_summary.csv
1998 WH46,18.60288518260728,23.2178,101,12.043866203703704,0.17 / 0.17,LS_peak=0.17 h; Adopted=0.17 h,0.1681761680808081,0.1681761680808081,2,0.3363523361616162,3.740463963446871,0.1750891155755716,0.5840640215031776,0.7823068788500755,0.1982428573468979,1.1749939927007296,insufficient,0.4225,8,8,0.168:0.422; 3.198:0.165; 0.191:0.158; 5.093:0.100; 4.359:0.058,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\1998_WH46,C:\Users\vikas\Downloads\ls_outputs\1998_WH46\step14_final_summary.csv
2001 SL7,18.84728852591932,22.573444444444444,176,4.117578506944445,5.90 / 5.90,LS_peak=5.90 h; Adopted=5.90 h,5.899813980099503,5.899813980099503,2,11.799627960199006,0.5598190887701548,0.5759039364182268,0.640949204512058,0.8454439237775375,0.2044947192654795,1.699658124490432,insufficient,0.9325,5,8,5.900:0.932; 3.973:0.052; 46.504:0.007; 7.945:0.005; 2.995:0.003,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2001_SL7,C:\Users\vikas\Downloads\ls_outputs\2001_SL7\step14_final_summary.csv
2002 AG213,17.34849432607427,23.245733870967737,257,9.033812997685184,0.25 / 0.49,LS_peak=0.25 h; Adopted=0.49 h,0.2474664139756821,0.4949328279513642,2,,,0.1242187835250598,0.5428638728114805,0.7244738916685165,0.1816100188570359,1.1212114221456844,insufficient,0.5275,8,8,0.495:0.527; 6.342:0.190; 4.589:0.102; 5.147:0.070; 18.853:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_AG213,C:\Users\vikas\Downloads\ls_outputs\2002_AG213\step14_final_summary.csv
2002 RS229,18.83973963842717,23.16013636363636,277,9.034807708333334,10.39 / 18.65,LS_peak=10.39 h; Adopted=18.65 h,10.38732383233533,18.65250623655914,2,37.30501247311828,1.0026687350700172,0.2579964000083862,0.5851317672553051,0.7636344082636732,0.1785026410083681,1.2682315704544167,insufficient,0.3,8,8,18.653:0.300; 37.305:0.180; 7.198:0.158; 14.396:0.135; 20.775:0.077,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_RS229,C:\Users\vikas\Downloads\ls_outputs\2002_RS229\step14_final_summary.csv
2002 RS281,19.54447723584117,23.407902777777775,141,6.020462604166666,15.62 / 13.52,LS_peak=15.62 h; Adopted=13.52 h,15.620659729729727,13.519635321637423,2,27.03927064327485,7.7696361696329745,0.3236889363462214,0.440448983364913,0.5498114547075978,0.1093624713426848,1.347334946800786,insufficient,0.27,7,8,6.760:0.270; 13.520:0.188; 0.550:0.163; 10.414:0.122; 0.882:0.115,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_RS281,C:\Users\vikas\Downloads\ls_outputs\2002_RS281\step14_final_summary.csv
2002 XO123,18.66507674583439,22.39919565217392,207,2.1268370023148147,4.21 / 0.23,LS_peak=4.21 h; Adopted=0.23 h,4.209821695303551,0.2295405870963712,2,0.4590811741927425,16.046485658711276,0.0785966401052791,0.464432831668212,0.6021484907735903,0.1377156591053783,1.075074735701962,insufficient,0.375,3,8,0.115:0.375; 18.149:0.360; 0.230:0.265; 0.194:0.000; 1.122:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2002_XO123,C:\Users\vikas\Downloads\ls_outputs\2002_XO123\step14_final_summary.csv
2003 PC10,18.778083239826984,22.691865168539326,368,6.0150385995370375,16.98 / 16.98,LS_peak=16.98 h; Adopted=16.98 h,16.98363839869281,16.98363839869281,3,33.96727679738562,6.796776544494492,0.4342927465635502,0.584285474534596,0.7736347552028526,0.1893492806682566,1.4918223132494215,reliable,0.4875,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2003_PC10,C:\Users\vikas\Downloads\ls_outputs\2003_PC10\step14_final_summary.csv
2003 SD476,18.38290082705817,22.477176470588237,37,2.126376701388889,19.44 / 0.47,LS_peak=19.44 h; Adopted=0.47 h,19.44115841269841,0.471981880539499,3,0.943963761078998,21.633375902770723,0.3324567705967716,0.5265525500777279,0.6126669371117082,0.0861143870339802,1.3582593653927728,insufficient,0.35,6,8,0.472:0.350; 1.180:0.200; 2.474:0.125; 5.103:0.122; 19.441:0.113,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2003_SD476,C:\Users\vikas\Downloads\ls_outputs\2003_SD476\step14_final_summary.csv
2003 YL188,17.275088380217706,22.876481927710845,158,2.123919398148148,14.56 / 14.56,LS_peak=14.56 h; Adopted=14.56 h,14.56401873015873,14.56401873015873,2,,,0.1382565489923609,0.7139266077875845,0.6866546497238133,-0.0272719580637712,1.1358019751877315,ambiguous,0.4425,5,8,14.564:0.443; 0.247:0.235; 0.110:0.235; 1.348:0.050; 0.563:0.037,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2003_YL188,C:\Users\vikas\Downloads\ls_outputs\2003_YL188\step14_final_summary.csv
2004 JU57,18.19821677197281,22.09214371257485,336,9.029934293981482,6.49 / 6.51,LS_peak=6.49 h; Adopted=6.51 h,6.493435896795672,6.505618703356265,2,12.986871793591344,6.820765185232517,0.1456069201324388,0.6038548882889678,0.7870497137534684,0.1831948254645006,1.1435173756291397,reliable,0.4975,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2004_JU57,C:\Users\vikas\Downloads\ls_outputs\2004_JU57\step14_final_summary.csv
2004 TO386,17.989719381160338,23.071276315789472,165,4.1304068981481485,3.12 / 3.12,LS_peak=3.12 h; Adopted=3.12 h,3.1221973403324585,3.1221973403324585,2,6.244394680664917,5.076562262093376,0.4248295178555804,0.6067943075261297,0.8441603508268116,0.2373660433006819,1.478876157012437,ambiguous,0.7075,7,8,3.122:0.708; 6.244:0.113; 8.392:0.098; 4.956:0.030; 4.196:0.028,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2004_TO386,C:\Users\vikas\Downloads\ls_outputs\2004_TO386\step14_final_summary.csv
2004 XB185,17.702756411338175,23.162,41,10.0197125,0.40 / 0.40,LS_peak=0.40 h; Adopted=0.40 h,0.4015413901064497,0.4015413901064497,2,0.8030827802128995,2.0745049475939084,0.2359281289151565,0.2816773786343667,0.4629204990780913,0.1812431204437246,1.242714173364365,insufficient,0.325,7,8,0.402:0.325; 3.750:0.155; 0.803:0.135; 14.250:0.128; 0.289:0.113,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2004_XB185,C:\Users\vikas\Downloads\ls_outputs\2004_XB185\step14_final_summary.csv
2005 QG129,19.19356009247967,23.350236559139788,178,4.116603402777778,3.41 / 4.76,LS_peak=3.41 h; Adopted=4.76 h,3.4068441954022988,4.761372610441766,2,9.522745220883532,8.380902010596401,0.4970008885364946,0.658639753842742,0.9328774199388192,0.2742376660960772,1.5805213087386734,ambiguous,0.5025,5,8,4.761:0.502; 2.652:0.212; 5.305:0.130; 6.814:0.105; 3.436:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_QG129,C:\Users\vikas\Downloads\ls_outputs\2005_QG129\step14_final_summary.csv
2005 QW67,18.365343468320106,22.74343209876543,176,2.127798101851852,10.48 / 10.48,LS_peak=10.48 h; Adopted=10.48 h,10.475313732193731,10.475313732193731,2,20.950627464387463,0.5220182426931501,0.2584082566001704,0.5516859635275928,0.6804236083041566,0.1287376447765638,1.2687127449893532,insufficient,0.4375,5,8,20.951:0.438; 9.181:0.247; 10.475:0.195; 1.129:0.070; 1.784:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_QW67,C:\Users\vikas\Downloads\ls_outputs\2005_QW67\step14_final_summary.csv
2005 TL198,17.150686201068428,23.13217857142857,160,9.038292199074077,44.50 / 44.50,LS_peak=44.50 h; Adopted=44.50 h,44.49620774928775,44.49620774928775,2,88.9924154985755,8.071491035146153,0.5735386767498043,0.4221999887497603,0.5234463999000774,0.101246411150317,1.6959594755243312,insufficient,0.2825,8,8,44.496:0.282; 15.634:0.160; 31.268:0.150; 9.641:0.147; 19.282:0.080,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_TL198,C:\Users\vikas\Downloads\ls_outputs\2005_TL198\step14_final_summary.csv
2005 UK284,18.26428904122592,23.482130434782608,59,12.04231150462963,3.31 / 11.33,LS_peak=3.31 h; Adopted=11.33 h,3.312498293537091,11.333940239651415,3,22.667880479302838,10.952054417304184,1.0524706316503898,0.4898296508641557,0.6490434555752813,0.1592138047111255,2.63626007600412,insufficient,0.5925,8,8,11.334:0.593; 0.341:0.175; 7.694:0.105; 4.446:0.048; 0.682:0.035,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_UK284,C:\Users\vikas\Downloads\ls_outputs\2005_UK284\step14_final_summary.csv
2005 UV118,17.52221851342845,23.3347033898305,224,4.118054097222222,19.77 / 39.53,LS_peak=19.77 h; Adopted=39.53 h,19.766659666666666,39.53331933333333,2,,,0.211708851595308,0.5595572465988745,0.7747360228968425,0.215178776297968,1.2153001195863529,insufficient,0.3025,7,8,39.533:0.302; 0.347:0.263; 1.058:0.170; 19.767:0.098; 0.173:0.085,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_UV118,C:\Users\vikas\Downloads\ls_outputs\2005_UV118\step14_final_summary.csv
2005 VO22,18.91282301740016,22.65801960784314,106,5.970062997685186,33.71 / 67.43,LS_peak=33.71 h; Adopted=67.43 h,33.713296928104576,67.42659385620915,2,,,0.3751454434402023,0.59866454943921,0.767964707543932,0.169300158104722,1.412726778508583,ambiguous,0.4225,5,8,20.288:0.422; 67.427:0.328; 33.713:0.175; 7.693:0.072; 5.458:0.003,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_VO22,C:\Users\vikas\Downloads\ls_outputs\2005_VO22\step14_final_summary.csv
2005 XJ59,19.023455671593982,22.979225,98,6.015094108796296,0.65 / 0.47,LS_peak=0.65 h; Adopted=0.47 h,0.6451944518932341,0.4697571970261904,3,,,0.1963650397826302,0.4052059239441306,0.4966111998191209,0.0914052758749903,1.1982460772928356,insufficient,0.475,5,8,0.470:0.475; 0.682:0.347; 1.750:0.090; 1.290:0.077; 0.235:0.010,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_XJ59,C:\Users\vikas\Downloads\ls_outputs\2005_XJ59\step14_final_summary.csv
2005 XU36,17.829101080640022,23.023507462686567,160,12.043837997685186,48.18 / 5.47,LS_peak=48.18 h; Adopted=5.47 h,48.17535199074074,5.466706608878383,3,10.933413217756764,7.868706042838767,0.2616720671112955,0.363174582004742,0.4406401133567215,0.0774655313519794,1.2725323358457614,insufficient,0.355,8,8,5.467:0.355; 6.722:0.345; 4.447:0.135; 0.334:0.075; 10.933:0.037,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2005_XU36,C:\Users\vikas\Downloads\ls_outputs\2005_XU36\step14_final_summary.csv
2006 SC460,18.124565215424997,22.80483233532934,377,12.047805902777778,4.14 / 5.01,LS_peak=4.14 h; Adopted=5.01 h,4.138065712581993,5.006880375180376,2,10.013760750360753,7.739352219434522,0.1125831421260845,0.5095569605592836,0.6379720347328615,0.1284150741735779,1.109259755492769,insufficient,0.3825,8,8,5.007:0.383; 6.320:0.265; 4.138:0.098; 3.272:0.060; 1.636:0.060,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_SC460,C:\Users\vikas\Downloads\ls_outputs\2006_SC460\step14_final_summary.csv
2006 TV118,19.290445279591303,23.25255844155844,148,2.126338703703704,15.70 / 15.70,LS_peak=15.70 h; Adopted=15.70 h,15.702193504273502,15.702193504273502,2,,,0.2972154450081744,0.6018276869023325,0.800821463342313,0.1989937764399805,1.3148801768782714,insufficient,0.4075,5,8,15.702:0.407; 0.844:0.268; 1.014:0.150; 10.604:0.125; 0.348:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_TV118,C:\Users\vikas\Downloads\ls_outputs\2006_TV118\step14_final_summary.csv
2006 UO139,17.86124605004224,22.520475609756097,323,9.029782395833331,1.46 / 1.46,LS_peak=1.46 h; Adopted=1.46 h,1.4618197470489038,1.4618197470489038,3,2.923639494097808,26.75706667277637,0.3699818085958169,0.5550818307261096,0.7618768337212494,0.2067950029951397,1.4060239661381817,reliable,0.985,3,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_UO139,C:\Users\vikas\Downloads\ls_outputs\2006_UO139\step14_final_summary.csv
2006 UO364,18.86643645162301,23.70094444444444,62,10.00362329861111,0.49 / 0.49,LS_peak=0.49 h; Adopted=0.49 h,0.4892245729325861,0.4892245729325861,2,0.9784491458651724,0.714337265972901,0.3365910640397467,0.5228332201174766,0.7256871932998159,0.2028539731823393,1.3634412389071244,insufficient,0.4025,8,8,0.489:0.403; 0.978:0.240; 0.269:0.135; 1.187:0.075; 0.538:0.068,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_UO364,C:\Users\vikas\Downloads\ls_outputs\2006_UO364\step14_final_summary.csv
2006 UV271,17.21432154510125,22.88833333333333,56,10.019729502314814,34.98 / 1.89,LS_peak=34.98 h; Adopted=1.89 h,34.977964808080806,1.8869917257915103,3,,,0.8428244310848743,0.6401658069707281,0.6716663603108195,0.0315005533400913,2.173350505213052,insufficient,0.2725,7,8,20.250:0.273; 1.887:0.242; 10.125:0.133; 0.943:0.125; 14.250:0.092,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_UV271,C:\Users\vikas\Downloads\ls_outputs\2006_UV271\step14_final_summary.csv
2006 VJ1,18.183123825910517,22.5258623853211,210,4.1200143981481485,10.99 / 10.99,LS_peak=10.99 h; Adopted=10.99 h,10.986705061728395,10.986705061728395,2,,,0.5719533207736416,0.4464007070201923,0.4789022210410429,0.0325015140208506,1.6934848988654083,ambiguous,0.55,6,8,21.973:0.550; 10.987:0.280; 39.552:0.087; 5.774:0.072; 4.370:0.007,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_VJ1,C:\Users\vikas\Downloads\ls_outputs\2006_VJ1\step14_final_summary.csv
2006 WY233,19.353150361635592,23.335715025906733,384,12.047805902777778,4.35 / 5.32,LS_peak=4.35 h; Adopted=5.32 h,4.348080325814537,5.317652260536399,2,10.6353045210728,14.51776651138698,0.6632227219793783,0.4570721357838394,0.6757898442525274,0.218717708468688,1.8419977220971653,ambiguous,0.5575,8,8,5.318:0.557; 9.559:0.172; 6.844:0.107; 15.953:0.062; 8.696:0.058,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2006_WY233,C:\Users\vikas\Downloads\ls_outputs\2006_WY233\step14_final_summary.csv
2007 DO25,18.795020978788205,21.846078651685392,432,12.036519594907409,4.03 / 8.05,LS_peak=4.03 h; Adopted=8.05 h,4.02615289585753,8.05230579171506,4,16.10461158343012,244.04195622369684,0.5196070591626687,0.5071478129732583,0.6330714914928528,0.1259236785195945,1.6137744069886095,reliable,0.67,2,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2007_DO25,C:\Users\vikas\Downloads\ls_outputs\2007_DO25\step14_final_summary.csv
2007 RA345,17.052270010037088,22.712684210526312,64,2.1248890972222223,16.32 / 16.32,LS_peak=16.32 h; Adopted=16.32 h,16.319148266666666,16.319148266666666,3,,,0.9408639949513672,0.5010710517135166,0.641122265901874,0.1400512141883574,2.3787324546323894,reliable,0.645,4,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2007_RA345,C:\Users\vikas\Downloads\ls_outputs\2007_RA345\step14_final_summary.csv
2007 TC455,17.533668156919894,22.9524578313253,160,4.1136621875,0.94 / 1.89,LS_peak=0.94 h; Adopted=1.89 h,0.9436357706093192,1.8872715412186385,2,3.774543082437277,15.352730238953171,0.1350683634838484,0.7683558885233985,0.9515678356958652,0.1832119471724667,1.132471667177408,ambiguous,0.4175,5,8,1.887:0.417; 0.497:0.312; 0.236:0.160; 0.973:0.095; 0.875:0.015,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2007_TC455,C:\Users\vikas\Downloads\ls_outputs\2007_TC455\step14_final_summary.csv
2007 US34,17.205672828013768,22.914444444444445,169,12.042343703703704,96.34 / 18.95,LS_peak=96.34 h; Adopted=18.95 h,96.33874962962965,18.951885173041894,4,37.9037703460838,7.804744111447519,1.032634616377957,0.4223056440441759,0.5474397004256986,0.1251340563815226,2.5885338379028124,insufficient,0.375,8,8,96.339:0.375; 18.952:0.333; 37.904:0.235; 21.212:0.037; 14.680:0.007,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2007_US34,C:\Users\vikas\Downloads\ls_outputs\2007_US34\step14_final_summary.csv
2008 GG114,17.940068224649075,20.980578512396693,306,12.046332997685186,1.39 / 2.79,LS_peak=1.39 h; Adopted=2.79 h,1.3933108045515392,2.7866216091030784,4,5.573243218206157,63.88789626243442,0.1399562015491743,0.5517448425377403,0.6928126709076494,0.1410678283699091,1.1375813950190734,reliable,0.9925,2,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2008_GG114,C:\Users\vikas\Downloads\ls_outputs\2008_GG114\step14_final_summary.csv
2008 SC347,18.879542561253217,22.90541538461538,134,4.118584143518518,35.94 / 35.94,LS_peak=35.94 h; Adopted=35.94 h,35.944007070707066,35.944007070707066,3,,,0.9916857921943054,0.6794208076025932,0.7890389379569669,0.1096181303543737,2.492724698938939,insufficient,0.515,6,8,35.944:0.515; 11.138:0.188; 7.356:0.128; 1.466:0.068; 0.733:0.060,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2008_SC347,C:\Users\vikas\Downloads\ls_outputs\2008_SC347\step14_final_summary.csv
2008 SW135,18.123177402305195,23.29323809523809,69,12.041317002314814,10.61 / 17.38,LS_peak=10.61 h; Adopted=17.38 h,10.605196625891947,17.38295386800334,2,34.76590773600668,5.742715193207545,0.3571789303037435,0.4563765805807662,0.5178751289875336,0.0614985484067673,1.3895416605845765,insufficient,0.265,8,8,14.679:0.265; 17.383:0.212; 64.220:0.145; 128.441:0.138; 10.605:0.105,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2008_SW135,C:\Users\vikas\Downloads\ls_outputs\2008_SW135\step14_final_summary.csv
2008 UN45,17.50495373073192,22.418833333333332,58,10.985275706018518,0.59 / 0.59,LS_peak=0.59 h; Adopted=0.59 h,0.5875133525224387,0.5875133525224387,2,1.1750267050448775,3.8674222724056895,0.1443306143726654,0.5447819363943829,0.6680716233625539,0.123289686968171,1.1421739366620014,insufficient,0.5375,7,8,0.588:0.537; 1.175:0.295; 9.312:0.105; 2.426:0.040; 1.450:0.010,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2008_UN45,C:\Users\vikas\Downloads\ls_outputs\2008_UN45\step14_final_summary.csv
2008 UR100,18.04107559315304,23.052350427350422,255,12.039794502314814,26.27 / 132.09,LS_peak=26.27 h; Adopted=132.09 h,26.26864255050505,132.0937453968254,2,,,0.4452471998812441,0.4850037414430694,0.622018282467895,0.1370145410248255,1.506950128789904,insufficient,0.3025,8,8,132.094:0.302; 26.269:0.223; 66.047:0.207; 52.537:0.195; 11.304:0.028,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2008_UR100,C:\Users\vikas\Downloads\ls_outputs\2008_UR100\step14_final_summary.csv
2008 UU424,17.76695233390821,22.76361728395062,339,9.035704398148148,1.98 / 3.96,LS_peak=1.98 h; Adopted=3.96 h,1.9781701761054096,3.956340352210819,2,,,0.1635130473414959,0.4938022153552666,0.6471844018758794,0.1533821865206128,1.16253281045387,ambiguous,0.4475,8,8,1.978:0.448; 3.652:0.152; 4.310:0.098; 4.740:0.095; 5.921:0.070,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2008_UU424,C:\Users\vikas\Downloads\ls_outputs\2008_UU424\step14_final_summary.csv
2009 OE20,18.828566857723747,23.595800000000004,38,6.0935725,0.14 / 0.14,LS_peak=0.14 h; Adopted=0.14 h,0.1419689261012013,0.1376754436337961,2,0.2753508872675923,0.3088672889837625,0.2096561042607497,0.5721924768471673,0.6398640401039621,0.0676715632567948,1.213004582927036,insufficient,0.2475,8,8,0.524:0.247; 0.275:0.235; 0.138:0.195; 0.942:0.113; 1.044:0.090,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2009_OE20,C:\Users\vikas\Downloads\ls_outputs\2009_OE20\step14_final_summary.csv
2009 PX19,18.99844831001884,23.19436144578313,221,12.033575497685185,19.09 / 9.87,LS_peak=19.09 h; Adopted=9.87 h,19.09459913682277,9.87370297245964,2,,,0.2106895253869987,0.6271901063505574,0.8039598566972863,0.1767697503467289,1.2141596897733986,insufficient,0.445,8,8,9.874:0.445; 19.095:0.223; 14.088:0.125; 7.044:0.100; 16.926:0.037,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2009_PX19,C:\Users\vikas\Downloads\ls_outputs\2009_PX19\step14_final_summary.csv
2009 SG414,17.8847900836141,22.81870588235294,50,12.03713980324074,5.17 / 7.33,LS_peak=5.17 h; Adopted=7.33 h,5.170315083271191,7.3252958549040335,2,14.650591709808069,13.75291469165549,0.3179127822773768,0.5404780408498198,0.6055527813376926,0.0650747404878728,1.3401861112854958,insufficient,0.3975,8,8,7.325:0.398; 1.560:0.230; 1.408:0.172; 5.170:0.080; 10.341:0.060,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2009_SG414,C:\Users\vikas\Downloads\ls_outputs\2009_SG414\step14_final_summary.csv
2009 UG193,17.58488112749324,22.479569444444444,133,2.126338703703704,7.16 / 6.64,LS_peak=7.16 h; Adopted=6.64 h,7.162404054580896,6.638325709123756,2,,,0.1568836437923781,0.5598427913883874,0.7688396048462529,0.2089968134578654,1.155456120813179,insufficient,0.6775,4,8,6.638:0.677; 0.289:0.235; 0.122:0.050; 0.396:0.037; 0.244:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2009_UG193,C:\Users\vikas\Downloads\ls_outputs\2009_UG193\step14_final_summary.csv
2009 WN222,18.095264814365503,22.842291666666668,99,9.029675208333334,0.23 / 0.47,LS_peak=0.23 h; Adopted=0.47 h,0.2328673794492948,0.4657347588985897,2,0.4657347588985897,0.919021881335027,0.1396374370003033,0.5542470668310138,0.7088474432412681,0.1546003764102543,1.1372474581084595,insufficient,0.495,7,8,0.466:0.495; 1.306:0.135; 0.709:0.113; 1.418:0.092; 11.043:0.060,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2009_WN222,C:\Users\vikas\Downloads\ls_outputs\2009_WN222\step14_final_summary.csv
2009 WX282,18.294864797782893,21.468488505747125,424,12.038945,16.16 / 32.33,LS_peak=16.16 h; Adopted=32.33 h,16.1641779020979,32.3283558041958,4,64.6567116083916,134.13204030421207,0.85008247210561,0.5713334968925743,0.7554385205459582,0.1841050236533838,2.187927811794955,reliable,0.4325,7,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2009_WX282,C:\Users\vikas\Downloads\ls_outputs\2009_WX282\step14_final_summary.csv
2010 CH150,18.697911489027128,22.016715328467157,282,9.029279895833334,10.08 / 10.08,LS_peak=10.08 h; Adopted=10.08 h,10.079196162790698,10.079196162790698,4,20.1583923255814,23.82857229135737,0.2235508308594462,0.581244691879121,0.7520977682319092,0.1708530763527882,1.228627784510572,insufficient,0.2825,8,8,10.079:0.282; 7.105:0.265; 5.486:0.247; 11.042:0.138; 14.210:0.035,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2010_CH150,C:\Users\vikas\Downloads\ls_outputs\2010_CH150\step14_final_summary.csv
2010 CW125,19.24581582096612,22.73875,26,10.011983599537038,34.95 / 17.48,LS_peak=34.95 h; Adopted=17.48 h,34.950924565656564,17.475462282828282,3,,,1.449396450168221,0.3456175338584053,0.4504096073624346,0.1047920735040293,3.7997811159149952,insufficient,0.435,6,8,17.475:0.435; 12.052:0.235; 8.043:0.125; 6.026:0.122; 4.544:0.050,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2010_CW125,C:\Users\vikas\Downloads\ls_outputs\2010_CW125\step14_final_summary.csv
2010 KX80,17.347138835221816,22.323530612244895,127,12.043866203703704,6.72 / 3.77,LS_peak=6.72 h; Adopted=3.77 h,6.722157881136952,3.766160115816142,2,,,0.1013784896465354,0.453596233529506,0.5611561613657727,0.1075599278362666,1.097871208329457,insufficient,0.3875,8,8,3.766:0.388; 13.444:0.245; 5.244:0.145; 10.487:0.120; 1.745:0.040,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2010_KX80,C:\Users\vikas\Downloads\ls_outputs\2010_KX80\step14_final_summary.csv
