Designation,H Mag,Mean Mag (r Band),Number of Observations,Arc (days),LS peak / Adopted Fourier (hr),Period display,LS peak period (hr),Adopted period (hr),Adopted K,2P candidate (hr),ΔBIC(2P−P),Amplitude (Fourier),g - r,g - i,r - i,Axial Elongation,Reliability,Bootstrap top_frac,Bootstrap n_unique_winners,Bootstrap family_size,Ambiguous candidates (P_hr:frac),pipeline_version,run_id_utc,outdir,final_row_path
2014 PK29,18.10861666399567,22.98770634920635,264,9.03576710648148,3.42 / 3.42,LS_peak=3.42 h; Adopted=3.42 h,3.4218289634012717,3.4218289634012717,2,6.843657926802543,4.081594046169073,0.1918798896627186,0.4139646250236772,0.5365034886455966,0.1225388636219193,1.1933063615465287,insufficient,0.3525,8,8,6.844:0.352; 9.585:0.273; 21.418:0.100; 38.553:0.090; 7.382:0.070,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_PK29,C:\Users\vikas\Downloads\ls_outputs\2014_PK29\step14_final_summary.csv
2014 PL12,18.281040633749758,22.80563559322033,257,12.036519594907409,0.85 / 1.71,LS_peak=0.85 h; Adopted=1.71 h,0.8530866601041793,1.7061733202083589,2,3.4123466404167173,2.763323004244114,0.0908709943604867,0.6940678066943704,0.9147271600200496,0.2206593533256793,1.0872975207179183,insufficient,0.2725,8,8,1.706:0.273; 11.974:0.200; 0.853:0.182; 0.768:0.102; 9.569:0.077,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_PL12,C:\Users\vikas\Downloads\ls_outputs\2014_PL12\step14_final_summary.csv
2014 QB502,19.03645561101489,21.47559393939394,308,9.03080909722222,1.45 / 2.89,LS_peak=1.45 h; Adopted=2.89 h,1.4461345676953017,2.892269135390604,2,5.784538270781207,8.546843720833976,0.0648964740708538,0.6262300107223275,0.8402105681572145,0.2139805574348869,1.0615943283932732,reliable,0.4025,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_QB502,C:\Users\vikas\Downloads\ls_outputs\2014_QB502\step14_final_summary.csv
2014 QD507,18.512616651277444,23.21681818181818,83,7.979243206018519,5.76 / 5.76,LS_peak=5.76 h; Adopted=5.76 h,5.7594537426900585,5.7594537426900585,2,11.518907485380115,4.614270940745442,0.4416543101183347,0.6247144392150119,0.6469228807192557,0.0222084415042438,1.5019716108943106,insufficient,0.4325,7,8,5.759:0.432; 11.183:0.155; 7.584:0.105; 1.824:0.102; 15.168:0.085,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_QD507,C:\Users\vikas\Downloads\ls_outputs\2014_QD507\step14_final_summary.csv
2014 QH289,17.979724244782012,22.52508333333333,501,12.047805902777778,70.10 / 35.05,LS_peak=70.10 h; Adopted=35.05 h,70.09632525252528,35.04816262626264,3,70.09632525252528,9.540453091866766,0.2166778057082349,0.6373560525763153,0.8153138806127203,0.1779578280364049,1.2208747794820036,reliable,0.5325,8,8,,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_QH289,C:\Users\vikas\Downloads\ls_outputs\2014_QH289\step14_final_summary.csv
2014 QQ1,17.671411957911616,22.97527118644068,119,2.123439699074074,3.00 / 3.00,LS_peak=3.00 h; Adopted=3.00 h,2.9977972222222222,2.9977972222222222,2,,,0.5540100531371565,0.5217990275181421,0.7365572596388112,0.2147582321206691,1.6657277514395612,ambiguous,0.665,3,8,2.998:0.665; 9.593:0.247; 2.639:0.087; 5.996:0.000; 4.037:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_QQ1,C:\Users\vikas\Downloads\ls_outputs\2014_QQ1\step14_final_summary.csv
2014 QW575,18.13362688615889,23.17957575757576,53,2.119509895833333,0.38 / 0.73,LS_peak=0.38 h; Adopted=0.73 h,0.3821088262910798,0.7292937275985663,2,1.4585874551971325,10.605423330492329,0.3966958299780728,0.4931025857191606,0.5715711079593682,0.0784685222402075,1.4410476183533345,insufficient,0.48,4,8,0.729:0.480; 1.268:0.268; 0.631:0.163; 3.003:0.090; 2.188:0.000,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_QW575,C:\Users\vikas\Downloads\ls_outputs\2014_QW575\step14_final_summary.csv
2014 QZ24,17.901218223457786,22.175646739130435,426,12.046266296296295,15.32 / 84.10,LS_peak=15.32 h; Adopted=84.10 h,15.317106813833703,84.10484105050504,4,,,1.2202376208384322,0.5527957707819553,0.74635713937014,0.1935613685881847,3.076770113367933,insufficient,0.2525,8,8,18.652:0.253; 15.317:0.237; 84.105:0.198; 42.052:0.145; 9.326:0.065,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_QZ24,C:\Users\vikas\Downloads\ls_outputs\2014_QZ24\step14_final_summary.csv
2014 SN218,17.87971535467594,22.373818181818184,95,12.043866203703704,0.27 / 1.84,LS_peak=0.27 h; Adopted=1.84 h,0.2725627429409608,1.8352558024691363,3,3.6705116049382727,20.659484448414503,0.239356583939371,0.6838302188489536,0.8540388262231673,0.1702086073742137,1.2466445236662012,insufficient,0.3675,7,8,1.835:0.367; 0.514:0.282; 0.273:0.152; 3.408:0.095; 0.660:0.058,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_SN218,C:\Users\vikas\Downloads\ls_outputs\2014_SN218\step14_final_summary.csv
2014 SN370,18.3499937507676,23.63915,107,12.03504980324074,3.03 / 6.06,LS_peak=3.03 h; Adopted=6.06 h,3.028479111693607,6.056958223387214,2,,,0.3172427641328594,0.588039070483223,0.6685107316857035,0.0804716612024805,1.3393593248172893,insufficient,0.3075,8,8,6.057:0.307; 1.582:0.188; 105.033:0.168; 5.112:0.138; 10.224:0.083,UNKNOWN,2026-02-21T15:38:20Z,C:\Users\vikas\Downloads\ls_outputs\2014_SN370,C:\Users\vikas\Downloads\ls_outputs\2014_SN370\step14_final_summary.csv
