Designation,H Mag,Mean Mag,Number of Observations,Arc,Period,Amplitude,g - r,g - i,r - i,Axial Elongation,Reliability,Step11 ambiguous_flag,Step11 family id,Step11 family source,Step11 family bootstrap frac,Step11 strong bootstrap override,Boot harmonic winner flag,Boot harmonic winner flag suppressed,Boot harmonic winner P hr,Step11 global ranking method,Step11 family score role,Additional periods (hr),Additional periods n,Additional periods dBIC,adopt_oe_ratio,adopt_bic_gap_2P,adopt_boot_frac_2P,adopt_boot_frac_base,adopt_morph_force_2p,adopt_prefer_2P,adopt_prefer_2P_reason,adopt_delta_BIC_2P_vs_P,adopt_amp_ratio_2p,adopt_amp_ratio_ok,adopt_combined_ev_2p,adopt_boot_veto_2p,needs_human_review_2p
2025 MU15,22.496942234803587,23.525617647058823,181,12.046822905092592,0.20153614228511244,0.426467075044333,0.4839775574089096,0.7279310595112882,0.24395350210237865,1.4811083488496757,ambiguous,False,STEP8_1,step8,0.9875,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,0.400,1,14.11,0.5145594707180138,14.113967588780895,0.15,0.8375,False,False,None,14.113967588780895,0.9282867031281727,False,False,False,False
2025 MU24,19.22877489745949,22.79065071770335,457,9.028947905092593,1.1074689082907438,0.2434563734043793,0.6252686300995407,0.7780122733869987,0.15274364328745804,1.2513608091383497,ambiguous,True,STEP8_1,step8,0.8775,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,2.215|1.058|1.162,3,2.15|21.51|26.91,0.25120383269825264,2.1459678777549698,0.355,0.5225,False,False,None,2.1459678777549698,0.9877123394598788,False,False,False,False
2025 MU59,19.76163076167488,21.996238317757008,480,12.045791400462964,4.092778545331045,0.6189706196187484,0.6202960930872656,0.8372921638318829,0.21699607074461724,1.7684315232916656,ambiguous,False,STEP8_1,step8,0.7424999999999999,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,,0,,0.6225216651359613,134.34016019106798,0.115,0.6275,False,False,None,134.34016019106798,0.9230769612734905,False,False,False,False
2025 MU8,19.612030805422933,23.216436090225564,276,12.039847002314815,0.823120148285303,0.5436547241957675,0.4512006430689439,0.6124434185128145,0.16124277544387056,1.6499162110934296,reliable,False,STEP8_1,step8,0.9925,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,0.412,1,26.47,0.4267953301157745,0.0,0.9925,0.0,False,True,final post-adoption 2P sanity override,-26.470302163689553,1.1129671103673435,False,True,False,False
2025 MU9,18.88378792892391,22.722748427672958,324,6.014076006944444,4.885906600846263,0.9642595801284947,0.47188205260419736,0.5797283510915427,0.1078462984873454,2.430545928350102,ambiguous,False,STEP8_1,step8,0.9275,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,2.443,1,13.86,0.7915190425019513,0.0,0.7875,0.14,False,True,final post-adoption 2P sanity override,-13.861918364632288,1.5781312999308608,True,True,False,False
2025 MV19,18.673422440102954,22.60424770642201,237,6.010675092592592,3.7179433562428406,0.7874919451020521,0.45337283911241144,0.6601456204159746,0.20677278130356314,2.0653648331524157,reliable,False,STEP8_1,step8,0.9,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,7.436,1,16.90,0.12889840189815327,16.898450926853627,0.0,0.895,False,False,None,16.898450926853627,0.9704922190856468,False,False,False,False
2025 MV31,19.262975156463305,22.98010071942446,277,6.018985104166667,2.8996570574817517,0.6194153010767482,0.5415569647237284,0.6957537546122907,0.15419678988856234,1.769155962401302,ambiguous,False,STEP8_2,step8,0.8375,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,2.588|5.799|5.176,3,9.88|12.33|25.97,0.2218433507076802,12.329776482658588,0.0675,0.77,False,False,None,12.329776482658588,1.077870586343829,False,False,False,False
2025 MV38,18.401574018669372,22.912655462184876,241,6.010703310185185,3.000143073367995,0.5970714520276511,0.658554573771962,0.8910414596034038,0.23248688583144173,1.733119787753234,ambiguous,False,STEP8_1,step8,0.6925,True,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,6.000|4.802|3.435,3,13.77|31.72|32.86,0.6611062707123645,13.773834556228337,0.0,0.6925,False,False,None,13.773834556228337,1.03205785377576,False,False,False,False
2025 MV4,20.3582251047975,23.35577325581395,342,12.047805902777778,5.2652019726858885,0.5550952613039137,0.4658563416689958,0.6908114043869276,0.22495506271793175,1.6673935014105943,insufficient,True,STEP8_5,step8,0.4675,False,False,True,5.265201972686,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,2.633|5.913|4.743|2.957|6.748,5,1.34|2.77|21.05|29.78|39.85,0.34745800764580465,0.0,0.4025,0.065,False,True,soft intra-family 2P promotion,-1.336294607053219,1.0242610358927082,False,False,False,False
2025 MV46,18.355280777945172,22.474299539170506,479,12.045279097222222,3.406484929476879,0.1963402948267464,0.4999830353486132,0.7030832750025446,0.20310023965393142,1.1982187684416512,insufficient,True,STEP8_5,step8,0.35000000000000003,False,False,False,,BIC_phys_primary_bootstrap_phys_frac_tiebreaker_global_raw_bic_override_v49,diagnostic_only,3.974|1.834|3.669|1.703|12.215,5,0.90|10.45|11.56|13.59|34.70,0.4703921667902319,0.0,0.33,0.02,False,True,"combined-evidence 2P v54 (dBIC=-13.59, oe_ratio=0.470, amp_ratio=1.202)",-13.592584563242099,1.202168483015195,True,True,False,False
